key	surface	english	sv
help.dbe.roles	help	The sounds have different jobs. Guidance tells you where to steer, pace notes tell you what is coming next, and car or surface sounds tell you what is happening now.	
help.dbe.start	help	Start here	
help.dbe.start.headphones	help	Use headphones and begin at a comfortable speed.	
help.dbe.start.hum	help	Steer toward the warm guiding hum.	
help.dbe.start.pace	help	Listen to pace notes before corners. The ear gives the direction and the beep count gives the severity.	
help.dbe.start.status	help	Engine, tyre, BOOST and gravel sounds describe the car or surface. They are not steering instructions.	
help.dbe.ribbon.title	help	Guiding ribbon	
help.dbe.ribbon.body	help	A warm organic hum points toward the side you should steer toward. It combines your position with where the moving car is likely to go. As the trajectory becomes safer, the hum settles closer to the centre and softens. At higher speed it looks farther ahead, so smooth corrections work better than chasing every tiny movement.	
help.dbe.pace.title	help	Pace notes	
help.dbe.pace.body	help	Before major corners, one to three beeps play in the ear on the turn side. One beep means a gentler corner, two means medium and three means tight. A long corner keeps the same number of beeps but holds the final beep longer: bip-beeeep for a long medium corner and bip-bip-beeeep for a long tight corner. Separate groups describe linked corners in the order you will meet them.	
help.dbe.drift.title	help	Drift and grip	
help.dbe.drift.body	help	Tyre noise stays centred. As the car loses more grip, the sound spreads wider across both ears. This describes how much the car is sliding without becoming a second left or right instruction.	
help.dbe.power.title	help	Engine and BOOST	
help.dbe.power.body	help	Engine and BOOST sounds stay centred. A rising burst confirms that BOOST starts, while a separate empty cue tells you the charge is gone. These are status sounds, not steering guidance.	
help.dbe.recovery.title	help	Off-road recovery	
help.dbe.recovery.body	help	Centred gravel marks that the car is off road. The guiding hum changes to recovery guidance and points toward a useful place to rejoin, rather than simply the nearest edge. Steer toward the hum until normal on-road guidance returns.	
help.dbe.rivals.title	help	Nearby rivals	
help.dbe.rivals.body	help	A short directional cue sounds when a rival comes close. It plays from the side of the nearby car. Treat it as a heads-up rather than a continuous tracker.	
help.dbe.wrongWay.title	help	Wrong way	
help.dbe.wrongWay.body	help	A repeating low double falling tone confirms that you are facing the wrong direction. A final side tone indicates which way to turn. Continue turning until the regular guiding ribbon returns.	
help.dbe.screenReader.title	help	With a screen reader	
help.dbe.screenReader.body	help	Drive By Ear is designed to work alongside screen readers. The screen reader presents menus, controls, continuous position updates and lap results; Drive By Ear supplies the spatial information needed to steer and stay on course. Together they are intended to provide a complete non-visual way to play TURN.	
raceAudio.guide.intro	audio	Drive By Ear™ turns the racing line, upcoming corners and nearby hazards into spatial sound. Pace notes tell you what comes next, while continuous guidance helps with the turn you are making now. It is designed to make the track understandable without relying on sight, while also helping any player drive more consistently. It works alongside screen readers so menus, spoken race information and spatial driving guidance can be used together. Headphones give the clearest left and right guidance.	
raceAudio.guide.ribbon.title	audio	The guiding ribbon	
raceAudio.guide.ribbon.body	audio	A warm organic hum guides your steering. On the road, it combines where the car is with where its current movement is likely to take it. The hum moves toward the side you should steer toward. As your trajectory becomes safer, it settles closer to the centre and softens. At higher speed it predicts farther ahead, so make smooth corrections rather than chasing every small movement.	
raceAudio.guide.recovery.body	audio	Off road, centred gravel marks the surface. The ribbon changes to recovery guidance and points toward a useful place to rejoin, rather than simply the nearest edge. Steer toward the hum until normal on-road guidance returns.	
raceAudio.guide.drift.body	audio	Tyre noise stays centred. As the car loses more grip, the sound spreads wider across both ears. This tells you how much the car is sliding without becoming a second steering command.	
raceAudio.guide.rivals.body	audio	A short cue sounds when a rival comes close. These nearby-rival warnings are directional and play from the side of the nearby car. Treat the cue as a heads-up rather than a continuous tracker.	
raceAudio.guide.wrongWay.body	audio	If you are on the road but facing the wrong direction, normal navigation makes room for a low warning. A repeating double falling tone confirms the problem; the warning and final side tone indicate which way to turn. Continue turning until the regular ribbon returns.	
raceAudio.guide.screenReader.body	audio	Drive By Ear is designed to work alongside screen readers, including VoiceOver. The screen reader presents menus, controls, race position and lap results; Drive By Ear provides the continuous spatial information needed to steer and stay on course. Together they are intended to provide a complete non-visual way to play TURN, from choosing a car and track to completing a race.	
raceAudio.guide.mix.title	audio	Sound balance and priority	
raceAudio.guide.mix.body	audio	TURN automatically lowers engine, drift and boost when guidance needs room. Pace notes are deliberately prominent. Use Sound balance above to favour Drive By Ear or the car and world sounds; the middle position is TURN's intended mix.	
raceAudio.status.storage	audio	Drive By Ear could not be changed because this browser blocked local storage.	
raceAudio.status.off	audio	Drive By Ear off. Its processing will also stay unloaded next time TURN starts.	
vehicle.convertible.name	vehicles	Convertible	
vehicle.convertible.description	vehicles	A low, open-top sports car with a long bonnet and compact cabin.	
vehicle.classic.name	vehicles	Training Car	
vehicle.classic.description	vehicles	A small, upright classic car with rounded bodywork and a friendly shape.	
vehicle.vintage-racer.name	vehicles	Vintage Racer	
vehicle.vintage-racer.description	vehicles	A narrow vintage racing car with exposed wheels and a long nose.	
vehicle.toy-racer.name	vehicles	Rally Racer	
vehicle.toy-racer.description	vehicles	A compact single-seat racing car with exposed wheels and a playful toy-like shape.	
vehicle.monster-truck.name	vehicles	Monster Truck	
vehicle.monster-truck.description	vehicles	A tall off-road truck with oversized tyres and a short, chunky body.	
vehicle.race-future.name	vehicles	Future Racer	
vehicle.race-future.description	vehicles	A sleek futuristic racing car with a low cockpit and aerodynamic body.	
vehicle.race.name	vehicles	Race Car	
vehicle.race.description	vehicles	A low single-seat race car with exposed wheels and a large rear wing.	
vehicle.sedan-sports.name	vehicles	Sport Sedan	
vehicle.sedan-sports.description	vehicles	A sporty four-door sedan with a low stance and rear spoiler.	
vehicle.sedan.name	vehicles	Sedan	
vehicle.sedan.description	vehicles	A balanced four-door family car with a conventional three-box shape.	
vehicle.suv.name	vehicles	SUV	
vehicle.suv.description	vehicles	A high-riding sport utility vehicle with a broad body and practical proportions.	
vehicle.firetruck.name	vehicles	Fire Truck	
vehicle.firetruck.description	vehicles	A heavy fire engine with roof equipment, blue emergency lights and a deep two-tone siren.	
vehicle.police.name	vehicles	Police Car	
vehicle.police.description	vehicles	A quick patrol car with a red-and-blue light bar and an urgent electronic siren.	
vehicle.ambulance.name	vehicles	Ambulance	
vehicle.ambulance.description	vehicles	A stable emergency van with blue roof lights and a clear hi-lo siren.	
vehicle.truck.name	vehicles	Truck	
vehicle.truck.description	vehicles	A sturdy pickup truck with a separate cab and cargo bed.	
vehicle.van.name	vehicles	Van	
vehicle.van.description	vehicles	A tall enclosed van with a boxy body and short bonnet.	
lot.title	lot	THE LOT	
lot.subtitle	lot	Pick a ride. Then hit the road.	
lot.back.aria	lot	Back to start	
lot.chooseCar.aria	lot	Choose a car	
lot.view	lot	3D VIEW	
lot.drag	lot	DRAG TO ROTATE	
lot.paint.aria	lot	Choose car paint colours	
lot.yourRide	lot	YOUR RIDE	
lot.race	lot	RACE THIS CAR	
lot.race.aria	lot	Race the {carName}	
lot.loading	lot	ROLLING OUT THE CARS…	
lot.paint.body	lot	Body	
lot.paint.spoiler	lot	Spoiler	
lot.paint.colorCue	lot	COLOR · {colorName}	
lot.trackColorCue	lot	TRACK COLOR · {colorName}	
lot.carColorCue	lot	CAR COLOR · {colorName}	
lot.fallbackDescription	lot	A selectable car in The Lot.	
vehicleStat.speed.label	vehicles	TOP SPEED	
vehicleStat.speed.description	vehicles	How fast the car can go without boost.	
vehicleStat.acceleration.label	vehicles	ACCELERATION	
vehicleStat.acceleration.description	vehicles	How quickly the car reaches speed.	
vehicleStat.control.label	vehicles	CONTROL	
vehicleStat.control.description	vehicles	How precisely and quickly the car steers while gripping the road.	
vehicleStat.drift.label	vehicles	DRIFT	
vehicleStat.drift.description	vehicles	How well the car retains speed and settles while drifting. Drift is always slower than Gas.	
vehicleStat.boostPower.label	vehicles	BOOST POWER	
vehicleStat.boostPower.description	vehicles	How strongly boost accelerates the car and raises its speed limit.	
vehicleStat.boostTank.label	vehicles	BOOST TANK	
vehicleStat.boostTank.description	vehicles	How long a full boost charge lasts.	
lot.stats.help	lot	WHAT DO THE STATS MEAN?	
lot.stats.title	lot	WHAT THE STATS DO	
lot.stats.close.aria	lot	Close vehicle stat legend	
lot.stats.rule	lot	GAS is fastest. DRIFT turns harder but always costs speed. BOOST is a limited burst.	
perk.sirens.title	vehicles	SIRENS	
perk.sirens.description	vehicles	Boost activates flashing emergency lights and sirens.	
perk.driftage.title	vehicles	DRIFTAGE	
perk.driftage.description	vehicles	DRIFT drains less speed, steering becomes more aggressive and the car can hold larger slip angles.	
perk.twitchyTurny.title	vehicles	TWITCHY TURNY	
perk.twitchyTurny.description	vehicles	DRIFT fills BOOST even faster than normal.	
perk.oversized.title	vehicles	OVERSIZED	
perk.oversized.description	vehicles	Going off-road doesn’t slow it down.	
perk.overdrive.title	vehicles	OVERDRIVE	
perk.overdrive.description	vehicles	5 clean seconds builds +6% top speed. Off-road or collisions reset it.	
palette.solar	vehicles	Solar	
palette.futurecyan	vehicles	Future Cyan	
palette.bubblegum	vehicles	Bubblegum	
palette.lime	vehicles	Lime	
palette.orange	vehicles	Orange	
palette.violet	vehicles	Violet	
palette.coral	vehicles	Coral	
palette.ice	vehicles	Ice	
colorCue.custom_colour	accessibility	custom colour	
colorCue.black	accessibility	black	
colorCue.white	accessibility	white	
colorCue.dark_grey	accessibility	dark grey	
colorCue.light_grey	accessibility	light grey	
colorCue.grey	accessibility	grey	
colorCue.pink	accessibility	pink	
colorCue.red	accessibility	red	
colorCue.dark_brown	accessibility	dark brown	
colorCue.brown	accessibility	brown	
colorCue.orange	accessibility	orange	
colorCue.yellow	accessibility	yellow	
colorCue.yellow_green	accessibility	yellow green	
colorCue.green	accessibility	green	
colorCue.cyan	accessibility	cyan	
colorCue.blue	accessibility	blue	
colorCue.violet	accessibility	violet	
colorCue.magenta	accessibility	magenta	
colorCue.dark	accessibility	dark {color}	
colorCue.light	accessibility	light {color}	
lot.lock.badge	trophy-road	{threshold} TROPHIES	
lot.lock.optionAria	trophy-road	{carName}. Locked. Unlocks at {threshold} trophies on Trophy Road. Select for unlock information.	
lot.lock.raceAria	trophy-road	{carName} is locked. Unlocks at {threshold} trophies on Trophy Road.	
achievement.category.onboarding	achievements	Getting started	
achievement.category.ways	achievements	Ways to play	
achievement.category.exploration	achievements	Exploration	
achievement.category.racing	achievements	Racing	
achievement.category.timeTrials	achievements	Time trials	
achievement.first-turn.title	achievements	FIRST TURN	
achievement.first-turn.description	achievements	Finish any valid lap.	
achievement.take-it-from-the-top.title	achievements	TAKE IT FROM THE TOP	
achievement.take-it-from-the-top.description	achievements	Use Restart Lap after the current lap becomes void.	
achievement.charge-through-it.title	achievements	CHARGE THROUGH IT	
achievement.charge-through-it.description	achievements	Recharge at least 25% of the Boost meter while drifting in one lap.	
achievement.second-wind.title	achievements	SECOND WIND	
achievement.second-wind.description	achievements	Run Boost empty, let it recharge, then activate Boost again.	
achievement.flow-state.title	achievements	FLOW STATE	
achievement.flow-state.description	achievements	Finish a valid lap using only Drift and Boost for forward drive.	
achievement.flow-state.recommendation	achievements	Recommended: Training Car · Countryside	
achievement.watch-and-learn.title	achievements	WATCH AND LEARN	
achievement.watch-and-learn.description	achievements	Spectate a rival for five seconds, then return to the start.	
achievement.your-own-rival.title	achievements	YOUR OWN RIVAL	
achievement.your-own-rival.description	achievements	Finish a valid lap with one of your saved rivals on the track.	
achievement.level-head.title	achievements	LEVEL HEAD	
achievement.level-head.description	achievements	Recalibrate, then finish a valid lap.	
achievement.new-wheels.title	achievements	NEW WHEELS	
achievement.new-wheels.description	achievements	Finish a valid lap with a vehicle other than the Training Car.	
achievement.new-ground.title	achievements	NEW GROUND	
achievement.new-ground.description	achievements	Finish valid laps on two different tracks.	
achievement.trust-your-ears.title	achievements	TRUST YOUR EARS	
achievement.trust-your-ears.description	achievements	Finish a valid lap with Blank screen mode on from start to finish.	
achievement.listen-closely.title	achievements	LISTEN CLOSELY	
achievement.listen-closely.description	achievements	Set Sound balance to at least 75% Drive By Ear, then drive for ten seconds with Blank screen mode on.	
achievement.listen-closely.recommendation	achievements	Recommended for non-visual driving: 90% Drive By Ear	
achievement.beyond-sight.title	achievements	BEYOND SIGHT	
achievement.beyond-sight.description	achievements	Finish a valid lap on every track with Blank screen mode on from start to finish.	
achievement.around-the-turn.title	achievements	AROUND THE TURN	
achievement.around-the-turn.description	achievements	Finish a valid lap on every track.	
achievement.ahead-of-yourself.title	achievements	AHEAD OF YOURSELF	
achievement.ahead-of-yourself.description	achievements	Finish first in a lap with at least one saved rival.	
achievement.night-shift-sheriff.title	achievements	NIGHT SHIFT SHERIFF	
achievement.night-shift-sheriff.description	achievements	In Midnight City, use the Police Car to beat four non-police rivals. Overtake each one while Boost is active.	
achievement.army-of-me.title	achievements	AN ARMY OF ME	
achievement.army-of-me.description	achievements	Finish first against four saved rivals on every track.	
achievement.on-course-of-course.title	achievements	ON COURSE, OF COURSE	
achievement.on-course-of-course.description	achievements	Finish every track without going off-road and within its clean-lap target.	
achievement.on-course-of-course.recommendation	achievements	Targets: Countryside, Airport and Cliffside < 0:30 · Harbor < 1:00 · Mountain < 1:50 · Midnight City < 2:00	
achievement.find-lilya.title	achievements	FIND LILYA!	
achievement.find-lilya.description	achievements	Find the hidden Lilya portrait in Midnight City.	
achievement.find-darvid.title	achievements	FIND DARVID!	
achievement.find-darvid.description	achievements	Find Darvid’s hidden face in Harbor.	
achievement.save-bella.title	achievements	SAVE BELLA!	
achievement.save-bella.description	achievements	Find Bella in Countryside using the Fire Truck.	
achievement.satans-sedan.title	achievements	SATAN’S SEDAN	
achievement.satans-sedan.description	achievements	Unlock the Super Sedan by setting the Sport Sedan spoiler to color code #666.	
achievement.countryside-sprint.title	achievements	COUNTRYSIDE SPRINT	
achievement.countryside-sprint.description	achievements	Finish Countryside in under 12 seconds.	
achievement.countryside-sprint.recommendation	achievements	Recommended: Future Racer	
achievement.airport-sprint.title	achievements	AIRPORT SPRINT	
